experiment	val_rmse	val_r2	status	description
auto	0.066256	0.998853	discard	GBT n=1000 depth=4 lr=0.008 sub=0.7
auto	0.064371	0.998918	keep	GBT n=800 depth=3 lr=0.01 sub=0.6
auto	0.069796	0.998727	discard	GBT n=800 depth=5 lr=0.01 sub=0.7
auto	0.071619	0.998660	discard	RandomForest n=500 depth=15 leaf=2
auto	0.070253	0.998711	discard	Ridge alpha=0.1
auto	0.070253	0.998711	discard	Ridge alpha=5.0
auto	0.066256	0.998853	discard	GBT n=1000 depth=4 lr=0.008 sub=0.7
auto	0.064371	0.998918	keep	GBT n=800 depth=3 lr=0.01 sub=0.6
auto	0.064371	0.998918	discard	GBT n=800 depth=5 lr=0.01 sub=0.7
auto	0.071619	0.998660	discard	RandomForest n=500 depth=15 leaf=2
auto	0.070253	0.998711	discard	Ridge alpha=0.1
auto	0.070253	0.998711	discard	Ridge alpha=5.0
auto	0.066256	0.998853	discard	GBT n=1000 depth=4 lr=0.008 sub=0.7
auto	0.064371	0.998918	keep	GBT n=800 depth=3 lr=0.01 sub=0.6
auto	0.069796	0.998727	discard	GBT n=800 depth=5 lr=0.01 sub=0.7
auto	0.071619	0.998660	discard	RandomForest n=500 depth=15 leaf=2
auto	0.070253	0.998711	discard	Ridge alpha=0.1
auto	0.070253	0.998711	discard	Ridge alpha=5.0
auto	0.066256	0.998853	discard	GBT n=1000 depth=4 lr=0.008 sub=0.7
auto	0.064371	0.998918	keep	GBT n=800 depth=3 lr=0.01 sub=0.6
auto	0.069796	0.998727	discard	GBT n=800 depth=5 lr=0.01 sub=0.7
auto	0.071619	0.998660	discard	RandomForest n=500 depth=15 leaf=2
auto	0.070253	0.998711	discard	Ridge alpha=0.1
auto	0.070253	0.998711	discard	Ridge alpha=5.0
auto	0.066256	0.998853	discard	GBT n=1000 depth=4 lr=0.008 sub=0.7
auto	0.064371	0.998918	keep	GBT n=800 depth=3 lr=0.01 sub=0.6
auto	0.064371	0.998918	discard	GBT n=800 depth=5 lr=0.01 sub=0.7
auto	0.071619	0.998660	discard	RandomForest n=500 depth=15 leaf=2
w4	0.063802	0.998937	keep	GBT n=600 depth=3 lr=0.01 sub=0.6 [axis:n_estimators]
w4	0.064834	0.998902	discard	GBT n=1000 depth=3 lr=0.01 sub=0.6 [axis:n_estimators]
w4	0.064834	0.998902	discard	GBT n=1500 depth=3 lr=0.01 sub=0.6 [axis:n_estimators]
w4	0.070146	0.998715	discard	GBT n=800 depth=3 lr=0.005 sub=0.6 [axis:learning_rate]
w4	0.065478	0.998880	discard	GBT n=800 depth=3 lr=0.02 sub=0.6 [axis:learning_rate]
w4	0.064167	0.998924	discard	GBT n=800 depth=3 lr=0.01 sub=0.5 [axis:subsample]
w4	0.064167	0.998924	discard	GBT n=800 depth=3 lr=0.01 sub=0.8 [axis:subsample]
w4	0.066423	0.998848	discard	GBT n=800 depth=3 lr=0.01 sub=0.6 leaf=2 [axis:min_samples_leaf]
w4	0.063802	0.998937	discard	GBT n=600 depth=3 lr=0.01 sub=0.6 [axis:n_estimators]
w4	0.064834	0.998902	discard	GBT n=1000 depth=3 lr=0.01 sub=0.6 [axis:n_estimators]
w4	0.065546	0.998878	discard	GBT n=1500 depth=3 lr=0.01 sub=0.6 [axis:n_estimators]
w4	0.070146	0.998715	discard	GBT n=800 depth=3 lr=0.005 sub=0.6 [axis:learning_rate]
w4	0.065478	0.998880	discard	GBT n=800 depth=3 lr=0.02 sub=0.6 [axis:learning_rate]
w4	0.064167	0.998924	discard	GBT n=800 depth=3 lr=0.01 sub=0.5 [axis:subsample]
w4	0.064332	0.998919	discard	GBT n=800 depth=3 lr=0.01 sub=0.8 [axis:subsample]
w4	0.066423	0.998848	discard	GBT n=800 depth=3 lr=0.01 sub=0.6 leaf=2 [axis:min_samples_leaf]
cf17458	0.064213	0.998923	discard	GBT n_estimators=800 subsample=0.7
cf17458	0.066078	0.998859	discard	GBT min_samples_leaf=1
cf17458	0.064371	0.998918	discard	GBT n_estimators=800
cf17458	0.065176	0.998890	discard	GBT max_depth=4
cf17458	0.064127	0.998926	discard	GBT learning_rate=0.008
cf17458	0.063671	0.998941	keep	GBT subsample=0.7
